site_id,value
SITE_1718,50.7428584776
SITE_21238,50.8357012671
SITE_1869,50.8392641532
SITE_4025,50.8170803748
SITE_4020,51.2074721304
SITE_1868,50.5057560218
SITE_3798,50.8802239715
SITE_5982,50.6952810077
SITE_10892,50.2260821534
SITE_10891,50.620005254
SITE_5986,51.2049967162
SITE_5984,51.0271262263
SITE_5985,50.354291771
SITE_2781,50.7170801355
SITE_2068,50.6418257593
SITE_19409,50.8964600957
SITE_19407,50.8768948556
SITE_3996,50.4719445656
SITE_19402,51.0485935743
SITE_3991,50.4908245935
SITE_4686,50.459331034
SITE_19371,50.2577286586
SITE_19370,49.8629536307
SITE_6357,51.3395531074
SITE_16679,50.4136288493
SITE_6150,50.7226913703
SITE_6151,50.7443121017
SITE_6152,50.8639650326
SITE_6154,50.6433291985
SITE_2132,50.6705371877
SITE_4682,50.8879252143
SITE_4732,50.4152569001
SITE_4733,50.4218417751
SITE_4730,50.4168395382
SITE_4731,50.4071605792
SITE_10963,51.248261967
SITE_4737,51.2341938816
SITE_2318,50.3540704156
SITE_4735,51.2701138622
SITE_2314,50.2042042514
SITE_4739,50.9421403466
SITE_2313,50.5007190367
SITE_21171,50.7829404784
SITE_2311,50.7640618857
SITE_4938,50.3416622516
SITE_2872,50.6819995632
SITE_6296,50.973516849
SITE_5858,50.4659876125
SITE_3773,50.9182222731
SITE_21100,50.2528281036
SITE_21105,51.1949444084
SITE_21107,50.6647158052
SITE_21106,50.7783954597
SITE_21109,51.0217255634
SITE_21108,50.5908177378
SITE_3779,50.8827532238
SITE_4788,51.3599761671
SITE_2782,50.0973955449
SITE_4657,50.8855338335
SITE_21999,50.9514126948
SITE_16255,50.8232613763
SITE_17381,51.2024521563
SITE_1992,51.1070650138
SITE_4658,50.8580261924
SITE_16703,50.9160636568
SITE_12014,50.9629031728
SITE_12011,50.8950514341
SITE_12013,51.0983197805
SITE_12012,51.2066330748
SITE_16381,50.4984106001
SITE_2268,51.1620988793
SITE_2269,51.0480318478
SITE_19573,49.6044868691
SITE_2262,51.0746122688
SITE_2263,50.5266751092
SITE_2260,50.8454403557
SITE_2261,50.6206113836
SITE_2266,49.8323462875
SITE_2267,50.9194935467
SITE_2265,51.0134424913
SITE_12525,50.8384102384
SITE_17032,51.0728291697
SITE_7995,50.8134970353
SITE_9257,51.2135138879
SITE_9255,51.1543148659
SITE_9253,51.2214524784
SITE_21319,50.8936681478
SITE_4110,50.4042484343
SITE_6055,50.4464956032
SITE_7865,51.0370457693
SITE_7864,50.2982128408
SITE_21619,50.8858995811
SITE_7860,51.2119875111
SITE_21615,50.8372471777
SITE_21614,50.8336452302
SITE_21617,50.8548163059
SITE_21611,51.0602988733
SITE_21610,51.0897011665
SITE_21613,50.8401428442
SITE_21612,50.8482890422
