,value
CELL_0000000000,157.471293
CELL_0000000001,-158.156563
CELL_0000000002,145.228469
CELL_0000000003,-47.136002
CELL_0000000004,61.693967
CELL_0000000005,89.630501
CELL_0000000006,-136.194534
CELL_0000000007,115.189395
CELL_0000000008,-79.039995
CELL_0000000009,-68.794697
CELL_0000000010,-83.701963
CELL_0000000011,-108.747718
CELL_0000000012,-52.489196
CELL_0000000013,-54.806462
CELL_0000000014,91.685479
CELL_0000000015,79.113482
CELL_0000000016,-64.708729
CELL_0000000017,-100.505663
CELL_0000000018,-53.993508
CELL_0000000019,-150.052756
CELL_0000000020,-68.086662
CELL_0000000021,-68.468633
CELL_0000000022,-41.588471
CELL_0000000023,-141.728816
CELL_0000000024,81.927354
CELL_0000000025,-131.596919
CELL_0000000026,73.387370
CELL_0000000027,-119.013250
CELL_0000000028,48.264746
CELL_0000000029,-130.216623
CELL_0000000030,120.060464
CELL_0000000031,81.467322
CELL_0000000032,68.100062
CELL_0000000033,-51.056526
CELL_0000000034,-82.153494
CELL_0000000035,-32.193693
CELL_0000000036,133.108779
CELL_0000000037,43.239951
CELL_0000000038,-172.342040
CELL_0000000039,154.245467
CELL_0000000040,29.861443
CELL_0000000041,-108.095851
CELL_0000000042,-69.802399
CELL_0000000043,-38.528122
CELL_0000000044,43.971746
CELL_0000000045,78.205552
CELL_0000000046,133.005143
CELL_0000000047,-59.606437
CELL_0000000048,115.405603
CELL_0000000049,-116.488776
CELL_0000000050,71.175909
CELL_0000000051,-149.390235
CELL_0000000052,162.730135
CELL_0000000053,79.358165
CELL_0000000054,72.258727
CELL_0000000055,27.598508
CELL_0000000056,86.565065
CELL_0000000057,-94.985165
CELL_0000000058,124.180313
CELL_0000000059,56.845321
CELL_0000000060,-104.413993
CELL_0000000061,-4.250571
CELL_0000000062,-33.778080
CELL_0000000063,3.030322
CELL_0000000064,30.964048
CELL_0000000065,-24.990276
CELL_0000000066,57.723859
CELL_0000000067,44.708791
CELL_0000000068,-173.836364
CELL_0000000069,15.382655
CELL_0000000070,-34.216180
CELL_0000000071,145.938771
CELL_0000000072,-172.148330
CELL_0000000073,53.871667
CELL_0000000074,53.066216
CELL_0000000075,94.828120
CELL_0000000076,-39.000609
CELL_0000000077,-143.557048
CELL_0000000078,104.962285
CELL_0000000079,-54.101790
CELL_0000000080,-99.179424
CELL_0000000081,-134.307819
CELL_0000000082,159.964969
CELL_0000000083,53.380785
CELL_0000000084,86.318469
CELL_0000000085,-109.653209
CELL_0000000086,-110.941084
CELL_0000000087,-155.683525
CELL_0000000088,33.051000
CELL_0000000089,121.358542
CELL_0000000090,172.656974
CELL_0000000091,-139.390142
CELL_0000000092,132.928363
CELL_0000000093,-2.365055
CELL_0000000094,81.006210
CELL_0000000095,-150.518166
CELL_0000000096,-111.714236
CELL_0000000097,146.457091
CELL_0000000098,124.112399
CELL_0000000099,98.292174
CELL_0000000100,87.256351
CELL_0000000101,-9.484875
CELL_0000000102,105.556179
CELL_0000000103,118.157427
CELL_0000000104,32.344380
CELL_0000000105,68.047128
CELL_0000000106,16.059932
CELL_0000000107,-31.347201
CELL_0000000108,-131.679441
CELL_0000000109,89.906485
CELL_0000000110,127.954444
CELL_0000000111,-70.188467
CELL_0000000112,50.864553
CELL_0000000113,26.881169
CELL_0000000114,82.418345
CELL_0000000115,2.540444
CELL_0000000116,58.276350
CELL_0000000117,-67.654507
CELL_0000000118,-150.082980
CELL_0000000119,45.580946
CELL_0000000120,138.647119
CELL_0000000121,-150.837779
CELL_0000000122,57.788818
CELL_0000000123,156.056710
CELL_0000000124,131.296032
CELL_0000000125,110.495535
CELL_0000000126,131.354557
CELL_0000000127,-2.513475
CELL_0000000128,-95.223795
CELL_0000000129,-17.120587
CELL_0000000130,-116.634668
CELL_0000000131,-114.513255
CELL_0000000132,-78.733410
CELL_0000000133,-158.283093
CELL_0000000134,39.648029
CELL_0000000135,178.480875
CELL_0000000136,34.935422
CELL_0000000137,-147.686334
CELL_0000000138,69.532481
CELL_0000000139,-100.947765
CELL_0000000140,44.201193
CELL_0000000141,-52.911608
CELL_0000000142,96.345426
CELL_0000000143,-64.657783
CELL_0000000144,49.394180
CELL_0000000145,121.659384
CELL_0000000146,76.986067
CELL_0000000147,-148.019259
CELL_0000000148,-175.359046
CELL_0000000149,-88.214154
CELL_0000000150,164.901735
CELL_0000000151,159.740122
CELL_0000000152,-135.606045
CELL_0000000153,123.233765
CELL_0000000154,-126.039219
CELL_0000000155,4.127382
CELL_0000000156,66.345906
CELL_0000000157,56.266452
CELL_0000000158,33.749049
CELL_0000000159,74.864548
CELL_0000000160,-45.119626
CELL_0000000161,42.150281
CELL_0000000162,-36.313712
CELL_0000000163,36.796273
CELL_0000000164,58.784890
CELL_0000000165,52.803711
CELL_0000000166,-171.961289
CELL_0000000167,7.491683
CELL_0000000168,43.020840
CELL_0000000169,-58.538970
CELL_0000000170,111.109348
CELL_0000000171,-50.372085
CELL_0000000172,6.697640
CELL_0000000173,122.160793
CELL_0000000174,-146.599121
CELL_0000000175,-145.166470
CELL_0000000176,6.609313
CELL_0000000177,-99.233062
CELL_0000000178,-110.543431
CELL_0000000179,-33.301066
CELL_0000000180,-53.046402
CELL_0000000181,13.748950
CELL_0000000182,163.476934
CELL_0000000183,-131.578193
CELL_0000000184,52.330064
CELL_0000000185,-79.752260
CELL_0000000186,104.453803
CELL_0000000187,37.766193
CELL_0000000188,-143.161042
CELL_0000000189,-151.424959
CELL_0000000190,-113.482657
CELL_0000000191,18.205449
CELL_0000000192,-134.159638
CELL_0000000193,98.626844
CELL_0000000194,-55.224429
CELL_0000000195,-115.936002
CELL_0000000196,-70.775370
CELL_0000000197,-111.311925
CELL_0000000198,56.240670
CELL_0000000199,-46.323760
