,value
Lopezchester,12488.2268834
Toddchester,15299.25415
Underwoodfurt,10226.4914162
Port Williamview,58926.2106783
North Lauraside,10728.817098
Michaelfort,42521.951342
East Janetshire,11438.04084
Lake Hailey,25798.6238497
Hornestad,28052.6238329
Crawfordton,19572.6767408
South Jerry,15299.4513801
North Robert,15410.4651223
Lake Jenniferside,10048.6999652
Jeffreytown,12799.1295281
Lake Brian,15230.1167872
West Blakechester,10971.5050109
Lake Edwinport,52510.0099864
West Joseph,16114.0751644
Carlosshire,25028.1759559
West Brandontown,67353.2377627
Bryantville,28317.7106
Robinsonland,13316.4183901
Burnston,13406.2222529
New Alexafort,10035.0373396
Lake Shannonside,10298.0758564
Lake Dianeborough,93824.3602692
Smithshire,20953.982684
North Patrick,15786.6062409
Port Claireberg,18658.3411564
Coopershire,18514.8152485
Port Jacob,12554.5287944
Edwardborough,11181.9475872
Jessicabury,27614.2075173
North Jamie,24534.0374042
Banksfort,17051.1085866
Port Victoriaville,88366.353245
West Benjaminstad,13214.0047094
New Brad,109918.75445
Michaelmouth,26538.4892608
East Antonio,12365.4281996
Smithport,16807.5653807
South Ashley,12930.388934
Marshallfurt,73537.1290733
Macdonaldton,33773.9921348
Scottland,11297.6325175
Johnsonport,13145.5558676
Williamsmouth,22374.9479091
North Christinaberg,19444.4810835
Troyborough,82432.0896667
Davidberg,20995.7769462
North Christian,23395.4741852
Lake Anthonyland,11870.0771973
North Kyliemouth,11621.6305925
North James,82740.8226011
East Danielstad,14874.5846453
New Mathew,13484.8150015
Lake Ericfurt,14888.785374
Gilbertstad,25181.2459271
South Edward,15347.2660847
Taylorport,10452.7945345
Youngshire,20060.7484512
Alexandriashire,10318.9507756
Leeshire,16414.0116026
Rogerston,12136.4635313
East Catherinetown,94451.1026874
Lake Raventown,40826.9204103
Kellyborough,11045.6390814
South Jennifer,23859.56952
Hebertmouth,11547.2500631
Adamton,24208.3390253
Port Maria,13558.3875328
West Jeremyburgh,11955.9378655
South Rhonda,11494.1773908
North Richardview,15792.0071056
Dustinstad,12407.4333408
Mistymouth,13273.2596199
New Johnstad,12077.3526883
Port Brandy,21918.7755068
New Juanville,12536.5305505
Alexandermouth,16282.3419194
Lake Shelleyville,15042.1305695
Farrellland,29989.9397962
West Amandaborough,15984.7018705
Elizabethburgh,11980.7580636
Lake Brendaside,111575.901271
Greenland,22356.5134986
West Natalie,268121.247038
Andreaborough,19208.5221291
Jennifertown,15898.8324476
New Edwinberg,19063.3522418
South Nicole,14802.3784226
North Elizabeth,11026.7433243
North Cassandra,18449.3549198
New Valeriestad,19753.1248326
Crawfordland,54854.3109572
South Joshua,33218.8950109
Cervantesport,13344.2378322
South Jaredborough,31573.3325782
Port Jennifer,11631.6179077
Tommyberg,11859.8976277
New Jessica,17974.1675033
Rachelton,13376.5248439
South Jacobberg,18667.965593
Andrewstad,15740.9886798
Powersport,22633.2253323
Patriciabury,11965.0843431
Garyborough,106014.005141
West Nicolechester,12554.1256606
Newtonfort,14373.6727089
South Valeriemouth,11263.4907892
Lauraview,46310.5870418
New Christinaside,29235.1776747
Scottborough,12069.3424587
South Lindsay,60948.8651998
South Charles,19322.0157008
Silvafort,14327.3222331
Fieldsport,30690.3378825
Huntport,12774.0103643
North Anthonyview,59461.5626894
New Cristina,16135.3854941
Petersonstad,19895.6612331
Garciastad,11622.2109174
Sweeneyton,15608.6301006
Colonhaven,13347.1126027
New Micheleburgh,41349.4020012
Joshuaville,121602.502291
Tonyburgh,10738.2801639
Karenshire,49304.0770988
New Michaelfort,27059.5977308
Debrabury,11408.3374308
New Coryview,426628.11144
Codytown,16798.5352263
Huntport,22444.3420556
Callahanville,60982.7166391
South Christina,10063.3645094
Andreaside,10725.5481413
Joseside,59141.7121596
Berryborough,12784.1402396
Port Carrie,600673.709611
Dayfurt,44177.7267277
Francismouth,20997.6641102
East Todd,26848.4288505
Allenside,20053.3682516
Port Lisamouth,13379.032257
Simpsontown,50076.4488281
North Jameschester,19468.714906
East Charlesside,71649.8433721
Lake Jeffreyside,33256.512341
Rivasfort,12199.897081
Victoriamouth,16624.1231019
New Stevenmouth,13164.0197037
Rachelfurt,19712.1606853
East Davidmouth,15906.1148585
East Sara,36040.8064768
Kennedyshire,24279.6230414
Johnsonfort,10160.2084576
Port Kathryn,10395.0260799
Port Benjamintown,13675.0417752
New Brittanybury,53309.7582745
Atkinsonview,51942.8093714
Port Drew,16916.4225352
New Jessica,11594.3441972
South Sean,26344.9469265
Riosmouth,14171.1411722
Mcgrathburgh,11019.9648637
New Joseph,16977.8201118
Andrewburgh,37220.9133288
West Lisaberg,11107.3473181
Liuport,20775.6476642
Darinville,251997.473979
Charlesmouth,34613.757993
West Theresa,17661.0931446
South Charles,25352.6060762
Williamsmouth,11051.3495684
South Stephaniemouth,13147.782543
Lake Chrisfurt,30347.4754886
South Lauraville,14322.9720929
South Jasonchester,23616.2352866
East Carlos,11803.356442
North Maurice,16998.9361077
West Troy,17948.2464542
Harrisonburgh,34474.5733158
Cameronbury,36099.3858898
Tashafort,10202.3979612
Jeffreyfurt,10217.9230027
Alvarezberg,12494.1819958
Anthonytown,14775.5728674
Gabrielland,62024.8225481
Bradybury,20424.9688035
West Sonia,28849.7863171
Brookehaven,12982.1308292
West Donna,14672.245293
Frederickport,27486.7030041
Lindaton,10066.0018476
Lake Jason,11243.2385552
New Kyleberg,31114.6675403
South Amyberg,13705.3041055
Port Brandonborough,14720.3789385
New Robert,58279.6643285
New Pamelaborough,13622.406146
