,value
CELL_0000000000,62.667265
CELL_0000000001,-57.844367
CELL_0000000002,-17.762760
CELL_0000000003,34.663366
CELL_0000000004,-37.619591
CELL_0000000005,-63.3767115
CELL_0000000006,6.579466
CELL_0000000007,-35.849634
CELL_0000000008,36.081273
CELL_0000000009,12.8248575
CELL_0000000010,-80.0972425
CELL_0000000011,46.2617015
CELL_0000000012,82.872670
CELL_0000000013,-36.9021805
CELL_0000000014,-27.4342565
CELL_0000000015,-40.746929
CELL_0000000016,40.276092
CELL_0000000017,86.0381015
CELL_0000000018,34.248047
CELL_0000000019,13.554299
CELL_0000000020,-87.7640995
CELL_0000000021,-0.925325
CELL_0000000022,-63.343347
CELL_0000000023,-66.470800
CELL_0000000024,-28.6269405
CELL_0000000025,60.328206
CELL_0000000026,-88.4184875
CELL_0000000027,-87.549941
CELL_0000000028,43.793451
CELL_0000000029,57.177671
CELL_0000000030,63.191423
CELL_0000000031,69.370441
CELL_0000000032,13.7369785
CELL_0000000033,-2.5973565
CELL_0000000034,-9.1298195
CELL_0000000035,-45.662365
CELL_0000000036,26.579244
CELL_0000000037,87.629913
CELL_0000000038,-73.3653875
CELL_0000000039,51.607769
CELL_0000000040,48.5880865
CELL_0000000041,-66.8968075
CELL_0000000042,61.178257
CELL_0000000043,42.504627
CELL_0000000044,-89.5298335
CELL_0000000045,-3.107201
CELL_0000000046,66.3290515
CELL_0000000047,-48.9148975
CELL_0000000048,-84.9706715
CELL_0000000049,-62.1284585
CELL_0000000050,-56.800301
CELL_0000000051,34.721793
CELL_0000000052,85.176671
CELL_0000000053,18.628832
CELL_0000000054,-88.7464345
CELL_0000000055,72.369832
CELL_0000000056,15.6397825
CELL_0000000057,43.0669105
CELL_0000000058,24.471660
CELL_0000000059,-86.967044
CELL_0000000060,-24.802597
CELL_0000000061,44.691605
CELL_0000000062,33.0514195
CELL_0000000063,-32.0003145
CELL_0000000064,70.034427
CELL_0000000065,-80.3423795
CELL_0000000066,-62.8679025
CELL_0000000067,-29.200738
CELL_0000000068,32.1918605
CELL_0000000069,30.181808
CELL_0000000070,57.9468085
CELL_0000000071,19.803587
CELL_0000000072,29.465346
CELL_0000000073,61.749682
CELL_0000000074,38.064982
CELL_0000000075,-29.5479265
CELL_0000000076,82.116215
CELL_0000000077,-84.4968195
CELL_0000000078,59.9529575
CELL_0000000079,-26.9719295
CELL_0000000080,61.6575295
CELL_0000000081,56.449294
CELL_0000000082,3.064035
CELL_0000000083,10.1604295
CELL_0000000084,28.921917
CELL_0000000085,74.1624955
CELL_0000000086,14.785020
CELL_0000000087,22.209687
CELL_0000000088,-72.9542065
CELL_0000000089,54.660499
CELL_0000000090,81.3728865
CELL_0000000091,-63.3254935
CELL_0000000092,34.594379
CELL_0000000093,-42.279827
CELL_0000000094,-23.065546
CELL_0000000095,-88.371372
CELL_0000000096,70.413303
CELL_0000000097,42.0399015
CELL_0000000098,34.6318585
CELL_0000000099,48.4944655
CELL_0000000100,61.855119
CELL_0000000101,37.423760
CELL_0000000102,-25.723445
CELL_0000000103,-66.7138605
CELL_0000000104,-62.654883
CELL_0000000105,40.3545255
CELL_0000000106,-39.2395605
CELL_0000000107,70.290278
CELL_0000000108,-88.4138065
CELL_0000000109,79.4650175
CELL_0000000110,-44.844833
CELL_0000000111,-81.0113865
CELL_0000000112,-16.0294775
CELL_0000000113,72.3319815
CELL_0000000114,58.965886
CELL_0000000115,60.324809
CELL_0000000116,-45.664808
CELL_0000000117,-56.9507315
CELL_0000000118,22.068389
CELL_0000000119,-52.264926
CELL_0000000120,13.997560
CELL_0000000121,-44.1377675
CELL_0000000122,-16.4080615
CELL_0000000123,-63.639223
CELL_0000000124,-74.6526105
CELL_0000000125,-31.8167285
CELL_0000000126,-5.682411
CELL_0000000127,29.2203685
CELL_0000000128,-54.9615825
CELL_0000000129,88.225227
CELL_0000000130,-1.167937
CELL_0000000131,-23.8090405
CELL_0000000132,22.0276105
CELL_0000000133,20.364011
CELL_0000000134,-40.163819
CELL_0000000135,-46.5018895
CELL_0000000136,-81.1309545
CELL_0000000137,10.632512
CELL_0000000138,66.1835485
CELL_0000000139,46.003365
CELL_0000000140,-3.8889815
CELL_0000000141,-22.086019
CELL_0000000142,34.793119
CELL_0000000143,54.245037
CELL_0000000144,-48.144909
CELL_0000000145,49.327670
CELL_0000000146,-27.752921
CELL_0000000147,-84.131452
CELL_0000000148,43.2317885
CELL_0000000149,-47.0668995
CELL_0000000150,-84.866538
CELL_0000000151,45.8752115
CELL_0000000152,-68.731516
CELL_0000000153,-4.0198335
CELL_0000000154,-33.202169
CELL_0000000155,-8.2275495
CELL_0000000156,18.371847
CELL_0000000157,-43.4711765
CELL_0000000158,38.511275
CELL_0000000159,-1.129776
CELL_0000000160,38.103292
CELL_0000000161,-80.931064
CELL_0000000162,-29.4712595
CELL_0000000163,65.812558
CELL_0000000164,80.607216
CELL_0000000165,-67.051598
CELL_0000000166,21.530190
CELL_0000000167,-46.3064105
CELL_0000000168,24.959277
CELL_0000000169,-62.8693935
CELL_0000000170,-38.3827745
CELL_0000000171,-53.825820
CELL_0000000172,20.715630
CELL_0000000173,30.686729
CELL_0000000174,35.026518
CELL_0000000175,-46.6630045
CELL_0000000176,66.6659625
CELL_0000000177,19.035786
CELL_0000000178,-22.2547525
CELL_0000000179,-78.3697385
CELL_0000000180,-87.1017965
CELL_0000000181,3.5206055
CELL_0000000182,58.405553
CELL_0000000183,-36.1475665
CELL_0000000184,32.3587485
CELL_0000000185,47.842570
CELL_0000000186,-39.1081145
CELL_0000000187,67.9556745
CELL_0000000188,13.500834
CELL_0000000189,-87.7540655
CELL_0000000190,-45.749734
CELL_0000000191,-16.1117635
CELL_0000000192,44.707654
CELL_0000000193,-80.582393
CELL_0000000194,-88.778234
