pos_id,product_type_id,msisdn
FIPO100,mfs,+32469853903
FIPO100,mfs,+32472066238
FIPO100,mfs,+32478384567
FIPO1000,handset,+32404952739
FIPO1001,electronic_recharge,+32482010395
FIPO1001,electronic_recharge,+32491943211
FIPO1001,electronic_recharge,+32450473351
FIPO1001,mfs,+32418586688
FIPO1001,mfs,+32473626648
FIPO1001,mfs,+32400457464
FIPO1001,sim,+32496896285
FIPO1001,sim,+32461516073
FIPO1001,sim,+32473074977
FIPO1002,electronic_recharge,+32434973299
FIPO1002,electronic_recharge,+32433862108
FIPO1002,electronic_recharge,+32480433786
FIPO1002,handset,+32446481653
FIPO1002,handset,+32422492951
FIPO1002,physical_recharge,+32450947925
FIPO1002,physical_recharge,+32400383996
FIPO1003,electronic_recharge,+32469525323
FIPO1003,handset,+32404718377
FIPO1003,handset,+32457459651
FIPO1003,handset,+32470175975
FIPO1003,mfs,+32410344448
FIPO1003,mfs,+32465909991
FIPO1003,mfs,+32480439648
FIPO1004,handset,+32440039753
FIPO1004,physical_recharge,+32498295940
FIPO1004,physical_recharge,+32450740947
FIPO1004,physical_recharge,+32432725490
FIPO1005,sim,+32428631113
FIPO1005,sim,+32407061254
FIPO1006,handset,+32416606300
FIPO1006,handset,+32438604185
FIPO1006,handset,+32413049565
FIPO1006,physical_recharge,+32415105603
FIPO1006,sim,+32474723787
FIPO1006,sim,+32496067780
FIPO1006,sim,+32414666420
FIPO1007,physical_recharge,+32444922610
FIPO1008,mfs,+32425418882
FIPO1008,sim,+32487131871
FIPO1008,sim,+32407450424
FIPO1008,sim,+32430291502
FIPO1009,electronic_recharge,+32400316519
FIPO1009,mfs,+32421129886
FIPO1009,mfs,+32426656640
FIPO1009,mfs,+32429217577
FIPO1009,physical_recharge,+32411466564
FIPO1009,physical_recharge,+32432433009
FIPO1009,sim,+32476604361
FIPO1009,sim,+32412695218
FIPO1009,sim,+32411586715
FIPO101,physical_recharge,+32468324849
FIPO101,physical_recharge,+32471177596
FIPO101,physical_recharge,+32473400349
FIPO1010,electronic_recharge,+32411087970
FIPO1010,electronic_recharge,+32400697192
FIPO1010,physical_recharge,+32475763954
FIPO1010,physical_recharge,+32447481816
FIPO1010,physical_recharge,+32428602629
FIPO1011,electronic_recharge,+32482190888
FIPO1011,electronic_recharge,+32405870696
FIPO1011,mfs,+32457681005
FIPO1011,mfs,+32434898906
FIPO1011,physical_recharge,+32410768728
FIPO1011,physical_recharge,+32492183153
FIPO1011,physical_recharge,+32499432306
FIPO1012,electronic_recharge,+32440663572
FIPO1012,electronic_recharge,+32488321189
FIPO1013,electronic_recharge,+32458836182
FIPO1013,electronic_recharge,+32427249972
FIPO1013,electronic_recharge,+32467434754
FIPO1013,handset,+32416592429
FIPO1013,handset,+32442209647
FIPO1013,mfs,+32467309533
FIPO1013,mfs,+32407455139
FIPO1013,sim,+32409997044
FIPO1013,sim,+32483370904
FIPO1014,electronic_recharge,+32410092609
FIPO1014,electronic_recharge,+32410983227
FIPO1015,electronic_recharge,+32416986794
FIPO1015,electronic_recharge,+32429441025
FIPO1015,electronic_recharge,+32459074228
FIPO1015,physical_recharge,+32410780736
FIPO1015,physical_recharge,+32427791884
FIPO1015,sim,+32492005600
FIPO1016,handset,+32404275708
FIPO1016,handset,+32442019267
FIPO1016,sim,+32462234252
FIPO1016,sim,+32418156306
FIPO1017,electronic_recharge,+32444266081
FIPO1017,handset,+32475059488
FIPO1017,mfs,+32407190877
FIPO1017,mfs,+32462382505
FIPO1017,sim,+32480955943
FIPO1017,sim,+32436928302
FIPO1018,physical_recharge,+32419657465
FIPO1018,physical_recharge,+32423069692
FIPO1019,electronic_recharge,+32436210424
FIPO1019,electronic_recharge,+32403468929
FIPO1019,electronic_recharge,+32486104865
FIPO1019,physical_recharge,+32458708808
FIPO1019,physical_recharge,+32412200441
FIPO1019,physical_recharge,+32485260988
FIPO1021,mfs,+32490855423
FIPO1021,mfs,+32433712107
FIPO1021,mfs,+32490896531
FIPO1022,electronic_recharge,+32493073914
FIPO1022,electronic_recharge,+32428174766
FIPO1022,electronic_recharge,+32443065877
FIPO1023,electronic_recharge,+32490837834
FIPO1023,electronic_recharge,+32422327981
FIPO1023,electronic_recharge,+32469486540
FIPO1023,handset,+32444304162
FIPO1023,handset,+32404960359
FIPO1023,mfs,+32446344348
FIPO1023,mfs,+32496463149
FIPO1023,sim,+32462756581
FIPO1023,sim,+32471682890
FIPO1023,sim,+32449464467
FIPO1024,electronic_recharge,+32484929226
FIPO1024,electronic_recharge,+32484615770
FIPO1024,electronic_recharge,+32432632297
FIPO1025,handset,+32404171282
FIPO1025,handset,+32421164222
FIPO1025,handset,+32481271690
FIPO1025,mfs,+32410003256
FIPO1025,mfs,+32470083597
FIPO1025,mfs,+32400698116
FIPO1026,electronic_recharge,+32437470037
FIPO1026,mfs,+32451685474
FIPO1026,mfs,+32478524584
FIPO1026,mfs,+32424920004
FIPO1028,sim,+32498501888
FIPO1029,handset,+32467173259
FIPO1029,sim,+32447536224
FIPO103,handset,+32405053640
FIPO103,handset,+32479427394
FIPO103,physical_recharge,+32408866650
FIPO103,physical_recharge,+32476422103
FIPO103,physical_recharge,+32446151342
