agent_id,distributor_id,product_type_id
FIPO1,DIST4,handset
FIPO5,DIST4,handset
FIPO6,DIST2,handset
FIPO8,DIST4,handset
FIPO13,DIST2,handset
FIPO16,DIST4,handset
FIPO17,DIST4,handset
FIPO18,DIST4,handset
FIPO20,DIST2,handset
FIPO26,DIST4,handset
FIPO27,DIST2,handset
FIPO28,DIST4,handset
FIPO29,DIST2,handset
FIPO31,DIST2,handset
FIPO32,DIST2,handset
FIPO33,DIST4,handset
FIPO36,DIST2,handset
FIPO37,DIST4,handset
FIPO38,DIST2,handset
FIPO39,DIST2,handset
FIPO40,DIST4,handset
FIPO41,DIST2,handset
FIPO42,DIST4,handset
FIPO43,DIST2,handset
FIPO45,DIST4,handset
FIPO47,DIST4,handset
FIPO49,DIST2,handset
FIPO50,DIST4,handset
FIPO52,DIST2,handset
FIPO53,DIST4,handset
FIPO54,DIST2,handset
FIPO55,DIST2,handset
FIPO56,DIST4,handset
FIPO61,DIST2,handset
FIPO62,DIST4,handset
FIPO64,DIST2,handset
FIPO65,DIST4,handset
FIPO66,DIST2,handset
FIPO67,DIST4,handset
FIPO68,DIST4,handset
FIPO71,DIST4,handset
FIPO73,DIST4,handset
FIPO75,DIST2,handset
FIPO76,DIST2,handset
FIPO78,DIST4,handset
FIPO81,DIST4,handset
FIPO83,DIST4,handset
FIPO84,DIST4,handset
FIPO87,DIST2,handset
FIPO88,DIST2,handset
FIPO91,DIST4,handset
FIPO97,DIST4,handset
FIPO98,DIST2,handset
FIPO99,DIST4,handset
FIPO100,DIST2,handset
FIPO102,DIST2,handset
FIPO103,DIST4,handset
FIPO104,DIST4,handset
FIPO110,DIST2,handset
FIPO111,DIST4,handset
FIPO114,DIST4,handset
FIPO115,DIST4,handset
FIPO116,DIST2,handset
FIPO117,DIST4,handset
FIPO119,DIST4,handset
FIPO122,DIST2,handset
FIPO124,DIST4,handset
FIPO125,DIST4,handset
FIPO129,DIST4,handset
FIPO130,DIST4,handset
FIPO132,DIST4,handset
FIPO133,DIST2,handset
FIPO139,DIST2,handset
FIPO140,DIST2,handset
FIPO141,DIST4,handset
FIPO142,DIST4,handset
FIPO143,DIST4,handset
FIPO144,DIST4,handset
FIPO146,DIST4,handset
FIPO147,DIST4,handset
FIPO148,DIST4,handset
FIPO150,DIST4,handset
FIPO151,DIST4,handset
FIPO152,DIST4,handset
FIPO153,DIST4,handset
FIPO154,DIST4,handset
FIPO155,DIST2,handset
FIPO156,DIST2,handset
FIPO158,DIST4,handset
FIPO160,DIST4,handset
FIPO161,DIST4,handset
FIPO162,DIST2,handset
FIPO164,DIST4,handset
FIPO166,DIST2,handset
FIPO167,DIST2,handset
FIPO168,DIST4,handset
FIPO169,DIST4,handset
FIPO170,DIST4,handset
FIPO171,DIST2,handset
FIPO172,DIST4,handset
FIPO173,DIST2,handset
FIPO174,DIST4,handset
FIPO179,DIST4,handset
FIPO181,DIST2,handset
FIPO182,DIST4,handset
FIPO183,DIST2,handset
FIPO184,DIST2,handset
FIPO185,DIST2,handset
FIPO188,DIST2,handset
FIPO190,DIST4,handset
FIPO191,DIST2,handset
FIPO192,DIST4,handset
FIPO193,DIST2,handset
FIPO194,DIST2,handset
FIPO195,DIST2,handset
FIPO196,DIST4,handset
FIPO197,DIST2,handset
FIPO198,DIST4,handset
FIPO201,DIST4,handset
FIPO203,DIST2,handset
FIPO204,DIST2,handset
FIPO205,DIST4,handset
FIPO206,DIST4,handset
FIPO207,DIST4,handset
FIPO209,DIST2,handset
FIPO212,DIST4,handset
FIPO213,DIST4,handset
FIPO216,DIST4,handset
FIPO220,DIST4,handset
FIPO221,DIST4,handset
FIPO222,DIST4,handset
FIPO223,DIST2,handset
FIPO224,DIST4,handset
FIPO225,DIST2,handset
FIPO228,DIST2,handset
FIPO231,DIST2,handset
FIPO233,DIST4,handset
FIPO235,DIST4,handset
FIPO236,DIST2,handset
FIPO238,DIST4,handset
FIPO239,DIST2,handset
FIPO240,DIST2,handset
FIPO242,DIST4,handset
FIPO243,DIST4,handset
FIPO245,DIST4,handset
FIPO246,DIST4,handset
FIPO249,DIST4,handset
FIPO250,DIST2,handset
FIPO251,DIST4,handset
FIPO255,DIST2,handset
FIPO259,DIST4,handset
FIPO260,DIST4,handset
FIPO261,DIST2,handset
FIPO263,DIST2,handset
FIPO265,DIST2,handset
FIPO266,DIST2,handset
FIPO269,DIST4,handset
FIPO270,DIST2,handset
FIPO271,DIST4,handset
FIPO274,DIST4,handset
FIPO275,DIST2,handset
FIPO279,DIST4,handset
FIPO280,DIST4,handset
FIPO281,DIST4,handset
FIPO282,DIST4,handset
FIPO289,DIST4,handset
FIPO292,DIST4,handset
FIPO295,DIST2,handset
FIPO297,DIST4,handset
FIPO298,DIST2,handset
FIPO299,DIST4,handset
FIPO300,DIST4,handset
FIPO301,DIST4,handset
FIPO304,DIST4,handset
FIPO305,DIST4,handset
FIPO310,DIST2,handset
FIPO313,DIST2,handset
FIPO317,DIST4,handset
FIPO318,DIST2,handset
FIPO319,DIST4,handset
FIPO320,DIST4,handset
FIPO322,DIST4,handset
FIPO323,DIST4,handset
FIPO324,DIST4,handset
FIPO325,DIST2,handset
FIPO326,DIST2,handset
FIPO327,DIST4,handset
FIPO328,DIST2,handset
FIPO329,DIST4,handset
FIPO330,DIST2,handset
FIPO332,DIST4,handset
FIPO336,DIST4,handset
FIPO337,DIST2,handset
FIPO341,DIST4,handset
FIPO343,DIST2,handset
FIPO344,DIST2,handset
FIPO345,DIST2,handset
FIPO346,DIST4,handset
FIPO348,DIST4,handset
FIPO349,DIST4,handset
FIPO351,DIST2,handset
FIPO352,DIST4,handset
