DISTRIBUTOR_ID,PRODUCT_TYPE_ID,TARGET_SELLIN_UNITS,TARGET_SELLIN_VALUE,TARGET_SELLOUT_UNITS,TARGET_SELLOUT_VALUE
DIST0,physical_recharge,404,117968,932,2358892
DIST0,electronic_recharge,7612,3676596,8444,84169792
DIST0,handset,9534,79751910,8607,25295973
DIST0,mfs,7162,45987202,5899,41859304
DIST0,sim,1483,5402569,8127,37481724
DIST1,mfs,4945,33111720,531,3486015
DIST1,sim,4999,46900618,4478,41546884
DIST2,physical_recharge,5874,44912604,6467,11821676
DIST2,electronic_recharge,290,2084520,2559,1747797
DIST2,handset,4972,23771132,6074,24818364
DIST3,sim,3645,26141940,7569,13639338
DIST3,electronic_recharge,9373,91433615,1707,10591935
DIST3,physical_recharge,6523,13052523,4102,24205902
DIST4,handset,3351,28292493,2694,23427024
DIST4,mfs,2958,17464032,6941,2630639
DIST5,mfs,1285,3173950,816,4341120
DIST5,sim,9233,54973282,6705,35060445
DIST6,physical_recharge,5974,34284786,6441,41660388
DIST6,electronic_recharge,835,3223100,5270,41279910
DIST6,handset,7933,69223358,8585,31017605
DIST7,physical_recharge,4805,40193825,2269,16402601
DIST7,electronic_recharge,7503,45865839,2823,12649863
DIST7,sim,6713,3571316,9272,26786808
DIST8,handset,6936,2906184,1741,11870138
DIST8,mfs,2710,7940300,7315,48220480
DIST9,mfs,2761,24269190,1630,544420
DIST9,sim,7,16044,9533,30305407
DIST10,physical_recharge,9160,76980640,8041,43099760
DIST10,electronic_recharge,5048,38475856,7186,14422302
DIST10,handset,5365,22302305,6905,7995990
DIST11,physical_recharge,841,3258875,3761,31005684
DIST11,electronic_recharge,4276,35486524,8965,1864720
DIST11,sim,2275,17440150,2137,8424054
DIST12,handset,577,3315442,6329,13752917
DIST12,mfs,6899,25291734,2653,25513901
DIST13,mfs,7613,4217602,1472,1492608
DIST13,sim,6704,35196000,3464,25048184
DIST14,physical_recharge,8286,30235614,1457,9445731
DIST14,electronic_recharge,252,1155672,7091,57040004
DIST14,handset,4876,6431444,7265,39848525
DIST15,physical_recharge,5100,23541600,2675,10306775
DIST15,electronic_recharge,7596,50285520,1081,3113280
DIST15,sim,1226,7880728,8568,76649328
DIST16,handset,6010,21251360,261,1978380
DIST16,mfs,4370,18751670,4490,5958230
DIST17,mfs,28,26992,158,1187370
DIST17,sim,2880,4789440,1669,13727525
DIST18,physical_recharge,3105,10851975,5152,51283008
DIST18,electronic_recharge,2185,11257120,7695,23308155
DIST18,handset,7274,13733312,5225,47432550
DIST19,physical_recharge,7719,463140,3265,8822030
DIST19,electronic_recharge,2241,19821645,6401,61456001
DIST19,sim,4036,64576,3443,6097553
DIST20,handset,7189,40164943,3610,12580850
DIST20,mfs,1783,17753331,8553,6568704
DIST21,mfs,251,438246,7268,65746328
DIST21,sim,3765,15696285,8089,42839344
DIST22,physical_recharge,25,219825,9278,54944316
DIST22,electronic_recharge,7727,51964075,3941,1426642
DIST22,handset,5129,47653539,8304,35433168
DIST23,physical_recharge,1429,13682675,7444,6416728
DIST23,electronic_recharge,8528,62876944,3112,22253912
DIST23,sim,3334,20317396,2262,3028818
DIST24,handset,6876,19582848,5538,49221744
DIST24,mfs,2840,12149520,5053,5467346
DIST25,mfs,5290,25386710,8286,65409684
DIST25,sim,3251,2792609,9228,78751752
DIST26,physical_recharge,950,6629100,1733,2985959
DIST26,electronic_recharge,4154,34050338,6064,11812672
DIST26,handset,549,5059035,1379,5595982
