distributor_id,geo_level2_id,product_type_id,target_sellout_units,target_sellout_value
DIST0,LVL2_Tongres,physical_recharge,6533,30639770
DIST0,LVL2_Gand,physical_recharge,1063,8971720
DIST0,LVL2_Marche-en-Famenne,physical_recharge,902,3627844
DIST0,LVL2_Termonde,physical_recharge,631,3221255
DIST0,LVL2_Bruges,physical_recharge,8327,69405545
DIST0,LVL2_Charleroi,physical_recharge,4631,16708648
DIST0,LVL2_Mons,physical_recharge,7471,43877183
DIST0,LVL2_Turnhout,physical_recharge,7342,13824986
DIST0,LVL2_Virton,physical_recharge,6609,30368355
DIST0,LVL2_Arlon,physical_recharge,9581,4445584
DIST0,LVL2_Alost,physical_recharge,5029,39532969
DIST0,LVL2_Namur,physical_recharge,3773,6814038
DIST0,LVL2_Maaseik,physical_recharge,6759,16559550
DIST0,LVL2_Neufchteau,physical_recharge,5495,47399870
DIST0,LVL2_Eeklo,physical_recharge,8257,38584961
DIST0,LVL2_Nivelles,physical_recharge,7982,4382118
DIST0,LVL2_Soignies,physical_recharge,2851,10041222
DIST0,LVL2_Ypres,physical_recharge,8365,27830355
DIST0,LVL2_Anvers,physical_recharge,6595,11112575
DIST0,LVL2_Philippeville,physical_recharge,8053,10235363
DIST0,LVL2_Courtrai,physical_recharge,3513,20884785
DIST0,LVL2_Furnes,physical_recharge,4903,3088890
DIST0,LVL2_Verviers,physical_recharge,1138,1025338
DIST0,LVL2_Dixmude,physical_recharge,4162,26678420
DIST0,LVL2_Hal-Vilvorde,physical_recharge,1708,2164036
DIST0,LVL2_Thuin,physical_recharge,6248,50852472
DIST0,LVL2_Waremme,physical_recharge,992,4661408
DIST0,LVL2_Mouscron,physical_recharge,2202,12423684
DIST0,LVL2_Tournai,physical_recharge,6729,53663775
DIST0,LVL2_Hasselt,physical_recharge,3445,14251965
DIST0,LVL2_Louvain,physical_recharge,5417,30757726
DIST0,LVL2_Bruxelles-Capitale,physical_recharge,9672,19324656
DIST0,LVL2_Huy,physical_recharge,210,1231650
DIST0,LVL2_Roulers,physical_recharge,7031,24369446
DIST0,LVL2_Audenarde,physical_recharge,1743,2002707
DIST0,LVL2_Bastogne,physical_recharge,7002,27601884
DIST0,LVL2_Ostende,physical_recharge,9548,32253144
DIST0,LVL2_Dinant,physical_recharge,775,6678175
DIST0,LVL2_Lige,physical_recharge,9234,10388250
DIST0,LVL2_Malines,physical_recharge,4711,25034254
DIST0,LVL2_Saint-Nicolas,physical_recharge,1061,2367091
DIST0,LVL2_Tielt,physical_recharge,5506,13357556
DIST0,LVL2_Ath,physical_recharge,2674,9083578
DIST0,LVL2_Tongres,electronic_recharge,3404,11556580
DIST0,LVL2_Gand,electronic_recharge,7507,13294897
DIST0,LVL2_Marche-en-Famenne,electronic_recharge,4412,3481068
DIST0,LVL2_Termonde,electronic_recharge,6713,2571079
DIST0,LVL2_Bruges,electronic_recharge,5056,33920704
DIST0,LVL2_Charleroi,electronic_recharge,2307,16015194
