site_id,product_type_id,pos_count_target
SI001002,electronic_recharge,2
SI001002,handset,48
SI001002,mfs,1
SI001002,physical_recharge,5
SI001002,sim,5
SI001003,mfs,4
SI001003,physical_recharge,15
SI001004,electronic_recharge,7
SI001004,handset,85
SI001004,mfs,3
SI001004,physical_recharge,17
SI001004,sim,14
SI001005,electronic_recharge,7
SI001005,handset,61
SI001005,mfs,3
SI001005,sim,6
SI001006,electronic_recharge,2
SI001006,handset,67
SI001006,mfs,4
SI001006,physical_recharge,5
SI001006,sim,6
SI001009,handset,69
SI001012,electronic_recharge,3
SI001012,handset,30
SI001012,physical_recharge,6
SI001012,sim,3
SI001013,electronic_recharge,1
SI001013,mfs,7
SI001013,physical_recharge,7
SI001013,sim,7
SI001014,electronic_recharge,2
SI001014,handset,83
SI001014,mfs,4
SI001014,physical_recharge,5
SI001014,sim,14
SI001015,handset,73
SI001015,mfs,3
SI001015,sim,3
SI001022,electronic_recharge,6
SI001022,handset,195
SI001022,mfs,8
SI001022,physical_recharge,14
SI001022,sim,10
SI001023,electronic_recharge,7
SI001023,handset,173
SI001023,mfs,8
SI001023,physical_recharge,10
SI001023,sim,17
SI001026,electronic_recharge,1
SI001026,handset,79
SI001026,mfs,4
SI001026,physical_recharge,5
SI001026,sim,5
SI001028,electronic_recharge,2
SI001028,handset,37
SI001028,mfs,2
SI001028,sim,6
SI001029,electronic_recharge,9
SI001029,handset,117
SI001029,mfs,5
SI001029,physical_recharge,15
SI001029,sim,4
SI001030,electronic_recharge,2
SI001030,handset,47
SI001030,mfs,4
SI001030,physical_recharge,8
SI001030,sim,3
SI001031,electronic_recharge,12
SI001031,handset,110
SI001031,mfs,13
SI001031,physical_recharge,15
SI001031,sim,7
SI001032,electronic_recharge,15
SI001032,handset,181
SI001032,mfs,13
SI001032,physical_recharge,12
SI001032,sim,17
SI001033,handset,50
SI001033,mfs,3
SI001033,physical_recharge,3
SI001034,electronic_recharge,2
SI001034,mfs,2
SI001034,physical_recharge,7
SI001034,sim,3
SI001035,electronic_recharge,3
SI001035,handset,25
SI001035,mfs,10
SI001035,physical_recharge,15
SI001035,sim,10
SI001036,electronic_recharge,9
SI001036,handset,123
SI001036,mfs,6
SI001036,physical_recharge,31
SI001036,sim,14
SI001039,electronic_recharge,3
SI001039,handset,66
SI001039,sim,7
SI001040,electronic_recharge,2
SI001040,handset,67
SI001040,mfs,2
SI001040,sim,4
SI001042,handset,35
SI001043,electronic_recharge,2
SI001043,handset,73
SI001043,mfs,1
SI001043,physical_recharge,6
SI001043,sim,12
SI001044,mfs,2
SI001044,physical_recharge,6
SI001045,handset,66
SI001045,mfs,2
SI001045,physical_recharge,3
SI001045,sim,2
SI001046,electronic_recharge,4
SI001046,handset,130
SI001046,mfs,8
SI001046,physical_recharge,14
SI001046,sim,16
SI001047,handset,70
SI001047,mfs,3
SI001047,physical_recharge,5
SI001048,electronic_recharge,2
SI001048,handset,118
SI001048,mfs,8
SI001048,physical_recharge,12
SI001048,sim,6
SI001049,electronic_recharge,2
SI001049,handset,102
SI001049,mfs,4
SI001049,physical_recharge,10
SI001049,sim,7
SI001051,electronic_recharge,7
SI001051,handset,81
SI001051,mfs,3
SI001051,physical_recharge,8
SI001051,sim,14
SI001052,electronic_recharge,3
SI001052,handset,80
SI001052,mfs,2
SI001052,physical_recharge,8
SI001052,sim,14
SI001053,electronic_recharge,2
SI001053,handset,129
SI001053,mfs,12
SI001053,physical_recharge,9
SI001053,sim,5
SI001054,electronic_recharge,8
SI001054,handset,128
SI001054,mfs,4
SI001054,physical_recharge,6
SI001054,sim,11
SI001055,electronic_recharge,2
SI001055,mfs,4
SI001055,physical_recharge,17
SI001055,sim,7
SI001057,electronic_recharge,3
SI001057,handset,52
SI001057,mfs,4
SI001057,physical_recharge,5
SI001057,sim,6
SI001058,electronic_recharge,7
SI001058,handset,41
SI001058,mfs,1
SI001058,physical_recharge,10
SI001058,sim,7
SI001059,electronic_recharge,7
SI001059,handset,144
SI001059,mfs,6
SI001059,physical_recharge,31
SI001059,sim,16
SI001067,electronic_recharge,4
SI001067,handset,42
SI001067,mfs,4
SI001067,physical_recharge,8
SI001067,sim,6
SI001069,electronic_recharge,1
SI001069,handset,40
SI001069,mfs,2
SI001069,physical_recharge,5
SI001069,sim,5
SI001071,electronic_recharge,5
SI001071,handset,119
SI001071,mfs,1
SI001071,physical_recharge,16
SI001071,sim,10
SI001073,electronic_recharge,4
SI001073,mfs,3
SI001073,physical_recharge,6
SI001073,sim,5
SI001075,electronic_recharge,3
SI001075,handset,64
SI001075,mfs,3
SI001075,physical_recharge,9
SI001076,electronic_recharge,7
SI001076,mfs,6
SI001076,physical_recharge,9
SI001076,sim,6
SI001077,electronic_recharge,2
SI001077,handset,41
SI001077,physical_recharge,9
SI001077,sim,5
SI001078,electronic_recharge,4
SI001078,handset,80
SI001078,mfs,4
SI001078,physical_recharge,6
SI001078,sim,7
SI001079,electronic_recharge,7
SI001079,handset,276
SI001079,mfs,12
SI001079,physical_recharge,21
SI001079,sim,13
SI001080,electronic_recharge,4
SI001080,handset,48
SI001080,mfs,8
SI001080,physical_recharge,10
SI001080,sim,8
SI001081,electronic_recharge,8
SI001081,handset,117
SI001081,mfs,3
SI001081,physical_recharge,9
SI001081,sim,8
SI001084,electronic_recharge,3
SI001084,handset,69
SI001084,mfs,1
SI001084,physical_recharge,3
SI001086,electronic_recharge,3
SI001086,handset,125
SI001086,mfs,2
SI001086,physical_recharge,8
SI001086,sim,3
SI001088,electronic_recharge,3
SI001088,mfs,8
SI001088,physical_recharge,17
SI001088,sim,10
SI001091,electronic_recharge,7
SI001091,handset,206
SI001091,mfs,2
SI001091,physical_recharge,4
SI001093,electronic_recharge,2
SI001093,handset,72
SI001093,sim,6
SI001095,electronic_recharge,6
SI001095,handset,64
SI001095,mfs,1
SI001095,physical_recharge,5
SI001095,sim,6
SI001097,electronic_recharge,3
SI001097,handset,44
SI001097,mfs,4
SI001097,physical_recharge,8
SI001097,sim,6
SI001100,electronic_recharge,3
SI001100,handset,43
SI001100,mfs,1
SI001100,sim,3
SI001103,electronic_recharge,3
SI001103,handset,41
SI001103,mfs,7
SI001103,physical_recharge,3
SI001103,sim,2
